iter	RMSE
320	1.426763649
321	1.425885052
322	1.424842476
323	1.42436684
324	1.423823177
325	1.423122432
326	1.42238305
327	1.421615971
328	1.420419931
329	1.419922993
330	1.419111972
331	1.418155701
332	1.417417312
333	1.416460471
334	1.415938329
335	1.414736477
336	1.41412296
337	1.413723845
338	1.412956527
339	1.412273045
340	1.411814428
341	1.411251455
342	1.410614372
343	1.409904069
344	1.409441198
345	1.408913862
346	1.408348354
347	1.40798202
348	1.407372419
349	1.406785196
350	1.406361438
351	1.405786344
352	1.405304591
353	1.404903987
354	1.404271405
355	1.403461017
356	1.402866567
357	1.402086762
358	1.401685292
359	1.401000886
360	1.400608207
361	1.399901004
362	1.399331188
363	1.398741644
364	1.398270869
365	1.397631668
366	1.397069113
367	1.396321333
368	1.395971621
369	1.39492786
370	1.394467476
371	1.393952613
372	1.393463568
373	1.392991969
374	1.392331652
375	1.391860727
376	1.390916324
377	1.390438078
378	1.389934657
379	1.389390671
380	1.388546324
381	1.38801249
382	1.387761166
383	1.387302456
384	1.387092834
385	1.386538455
386	1.385865175
387	1.385225733
388	1.384668344
389	1.384293489
390	1.383818473
391	1.38340716
392	1.382744816
393	1.382164263
394	1.381650295
395	1.38111717
396	1.380302506
397	1.37989286
398	1.379289531
399	1.378540606
400	1.378272734
401	1.377835324
402	1.377399667
403	1.376990077
404	1.37652372
405	1.375992696
406	1.375369518
407	1.375146524
408	1.374645428
409	1.374035132
410	1.373549505
411	1.3731807
412	1.372569499
413	1.372074333
414	1.371658438
415	1.37113806
416	1.370592777
417	1.370072268
418	1.369593179
419	1.368381055
420	1.367937082
421	1.367609835
422	1.367242093
423	1.366942331
424	1.366414134
425	1.366016089
426	1.365573141
427	1.365008511
428	1.364511401
429	1.364042947
430	1.363421473
431	1.363048144
432	1.362722473
433	1.362283111
434	1.362007015
435	1.361559474
436	1.360583713
437	1.36008105
438	1.359684631
439	1.359232667
440	1.358864061
441	1.358514162
442	1.358182632
443	1.35784469
444	1.357397975
445	1.35694807
446	1.356514011
447	1.355846151
448	1.355163608
449	1.354687294
450	1.354088272
451	1.352684706
452	1.352357158
453	1.351891761
454	1.351354082
455	1.350789274
456	1.350414436
457	1.349878681
458	1.348261961
459	1.347800439
460	1.347369393
461	1.346775916
462	1.346287728
463	1.345797653
464	1.345527033
465	1.345152191
466	1.345014844
467	1.344617474
468	1.344161071
469	1.343730096
470	1.343442961
471	1.343148519
472	1.342707546
473	1.342296858
474	1.341884447
475	1.341581087
476	1.341329315
477	1.340889299
478	1.34060094
479	1.340245338
480	1.339797733
481	1.336522987
482	1.336244787
483	1.336061496
484	1.335713549
485	1.335337229
486	1.334992516
487	1.334558061
488	1.334376898
489	1.333957423
490	1.333491169
491	1.33318257
492	1.332632168
493	1.332257164
494	1.332089055
495	1.33159917
496	1.328855849
497	1.328501825
498	1.328217359
499	1.327901932
500	1.327470067
501	1.327304767
502	1.326767648
503	1.326376647
504	1.326057201
505	1.325756654
506	1.325343707
507	1.324986644
508	1.324606283
509	1.324305768
510	1.323920889
511	1.323623456
512	1.323361974
513	1.322980183
514	1.322587838
515	1.322207011
516	1.321883985
517	1.321597895
518	1.321272895
519	1.320987828
520	1.320805749
521	1.320495942
522	1.320154434
523	1.319788392
524	1.319604808
525	1.319331191
526	1.318951019
527	1.31862241
528	1.318357484
529	1.318002291
530	1.317776478
531	1.317504684
532	1.317139349
533	1.316789566
534	1.316443474
535	1.316112498
536	1.31574857
537	1.315242812
538	1.314912165
539	1.314629466
540	1.31446422
541	1.314144824
542	1.313706388
543	1.313397081
544	1.312123821
545	1.311898746
546	1.311544277
547	1.311195364
548	1.310725415
549	1.310392159
550	1.310115099
551	1.309752581
552	1.309578791
553	1.309244107
554	1.308932395
555	1.308519102
556	1.308182468
557	1.307917367
558	1.307387146
559	1.307300495
560	1.307022852
561	1.306765057
562	1.306449984
563	1.306107376
564	1.305817291
565	1.305254971
566	1.304946183
567	1.304801034
568	1.304615769
569	1.304388032
570	1.304099079
571	1.303857271
572	1.303630669
573	1.303426134
574	1.303223832
575	1.302933831
576	1.302767309
577	1.302501627
578	1.302331138
579	1.301987563
580	1.301805225
581	1.299616381
582	1.299383179
583	1.299236364
584	1.299055656
585	1.298758413
586	1.298476504
587	1.298230695
588	1.298023352
589	1.29783367
590	1.297705244
591	1.297429703
592	1.29722757
593	1.29606771
594	1.295874643
595	1.295619932
596	1.295023912
597	1.294773474
598	1.29456036
599	1.294293711
600	1.293964494
601	1.293706406
602	1.293440733
603	1.293109705
604	1.29282526
605	1.292434016
606	1.292179274
607	1.291940229
608	1.291482416
609	1.291234744
610	1.291021949
611	1.290774532
612	1.290488795
613	1.290416541
614	1.290172875
615	1.290032846
616	1.289879646
617	1.289357446
618	1.289091237
619	1.288767752
620	1.288542586
621	1.288342007
622	1.288143944
623	1.287773122
624	1.287563436
625	1.287295699
626	1.287227148
627	1.287014828
628	1.286856777
629	1.286608001
630	1.286417614
631	1.286115879
632	1.285908433
633	1.285752566
634	1.285534718
635	1.285369044
636	1.285152655
637	1.284986177
638	1.284711771
639	1.284527083
640	1.284448064
641	1.284173501
642	1.283929012
643	1.283257574
644	1.282912996
645	1.282738366
646	1.282474036
647	1.282247281
648	1.281990221
649	1.281694893
650	1.281481719
651	1.281245152
652	1.281077602
653	1.280860437
654	1.280673213
655	1.280427166
656	1.280235455
657	1.279967814
658	1.279812352
659	1.279566433
660	1.279320932
661	1.279086395
662	1.278876442
663	1.27878388
664	1.27840757
665	1.278077448
666	1.277824362
667	1.277592594
668	1.27735347
669	1.277145918
670	1.276966347
671	1.276784055
672	1.27660604
673	1.276387697
674	1.276142999
675	1.275924389
676	1.275499203
677	1.27524254
678	1.275032419
679	1.274821747
680	1.274630286
681	1.274458305
682	1.274386959
683	1.274224131
684	1.274020787
685	1.273821511
686	1.273627752
687	1.273534826
688	1.27332477
689	1.273119161
690	1.27294415
691	1.272744437
692	1.27253427
693	1.272347148
694	1.272171288
695	1.271983742
696	1.271808791
697	1.27165986
698	1.271499069
699	1.271291581
700	1.271151261
701	1.270891954
702	1.270752944
703	1.270668668
704	1.270234314
705	1.270096226
706	1.269957899
707	1.269732062
708	1.269529323
709	1.269379892
710	1.269165274
711	1.268993918
712	1.268778713
713	1.26858811
714	1.268449709
715	1.268221442
716	1.268117233
717	1.267788325
718	1.267586532
719	1.267411922
720	1.267269395
721	1.267066449
722	1.266826813
723	1.266642498
724	1.266458834
725	1.266416815
726	1.266223824
727	1.266003508
728	1.265816972
729	1.265673733
730	1.265497677
731	1.265317853
732	1.265121104
733	1.264932514
734	1.264667803
735	1.264496013
736	1.264313785
737	1.264099254
738	1.263983945
739	1.263829878
740	1.26367277
741	1.263507387
742	1.263293439
743	1.263149996
744	1.262999571
745	1.262813152
746	1.262727154
747	1.262552443
748	1.26244579
749	1.262319168
750	1.26208858
751	1.261924244
752	1.261786556
753	1.261654753
754	1.261420769
755	1.261298642
756	1.261139343
757	1.260563979
758	1.260386257
759	1.260286644
760	1.26014642
761	1.260055236
762	1.259885494
763	1.259720063
764	1.259527938
765	1.259151552
766	1.259023104
767	1.258887936
768	1.258769112
769	1.258624597
770	1.258467142
771	1.258298259
772	1.25809772
773	1.257892984
774	1.257765981
775	1.257628693
776	1.257465232
777	1.257274385
778	1.257108088
779	1.256906335
780	1.256766019
781	1.256594521
782	1.25642388
783	1.256274492
784	1.256112405
785	1.255927159
786	1.25573974
787	1.25559566
788	1.255403615
789	1.25530404
790	1.255104972
791	1.254473186
792	1.254306524
793	1.254168121
794	1.254016367
795	1.253927718
796	1.25384438
797	1.253681458
798	1.253550761
799	1.25336275
800	1.253274716
801	1.253170103
802	1.253024396
803	1.252934796
804	1.252788818
805	1.252496579
806	1.252341876
807	1.252181441
808	1.252049798
809	1.251911458
810	1.251761947
811	1.25160477
812	1.251498143
813	1.251373389
814	1.251243053
815	1.250871875
816	1.249836851
817	1.249665362
818	1.249537918
819	1.249401755
820	1.248851887
821	1.248710482
822	1.24864413
823	1.248363745
824	1.248173007
825	1.248000279
826	1.247749534
827	1.247562931
828	1.247376621
829	1.247277883
830	1.246272905
831	1.246215703
832	1.246058179
833	1.24598606
834	1.245841417
835	1.245754318
836	1.245624862
837	1.245329913
838	1.245140621
839	1.244960421
840	1.24482222
841	1.244718582
842	1.244620448
843	1.244458402
844	1.244416393
845	1.244275629
846	1.244029887
847	1.243964337
848	1.243803494
849	1.2436588
850	1.243536548
851	1.243462208
852	1.2433536
853	1.243328778
854	1.243182548
855	1.243035827
856	1.242901973
857	1.242768686
858	1.242691581
859	1.242562792
860	1.242096734
861	1.242029796
862	1.241937658
863	1.241831968
864	1.241693866
865	1.241541726
866	1.24152214
867	1.241421338
868	1.241294315
869	1.241150796
870	1.239962124
871	1.239673082
872	1.239537126
873	1.239473555
874	1.239332448
875	1.239154179
876	1.23904056
877	1.238894381
878	1.238795279
879	1.238691307
880	1.238565991
881	1.238303978
882	1.238179953
883	1.238056093
884	1.237932657
885	1.237777074
886	1.236974004
887	1.236791561
888	1.236698914
889	1.236557199
890	1.236236808
891	1.236108077
892	1.235977438
893	1.235912462
894	1.235573968
895	1.23535399
896	1.235224221
897	1.235107837
898	1.235026058
899	1.234883769
900	1.234355665
901	1.234062117
902	1.234006402
903	1.233912221
904	1.233791724
905	1.233703077
906	1.233602757
907	1.233495113
908	1.233291105
909	1.233162353
910	1.233087367
911	1.232768801
912	1.232595472
913	1.232472201
914	1.232285792
915	1.232152558
916	1.232027227
917	1.231907404
918	1.231790757
919	1.231675367
920	1.231545822
921	1.231413165
922	1.231269848
923	1.231135271
924	1.231018936
925	1.230919976
926	1.23078893
927	1.230628818
928	1.230550981
929	1.230411503
930	1.230207381
931	1.229993764
932	1.229854515
933	1.229704539
934	1.229627728
935	1.229496936
936	1.22939965
937	1.229355409
938	1.229264194
939	1.229175698
940	1.229042183
941	1.228900686
942	1.228784419
943	1.228723533
944	1.228639024
945	1.22841647
946	1.228303879
947	1.228172716
948	1.228076496
949	1.227960151
950	1.227819851
951	1.227702874
952	1.227615324
953	1.227441062
954	1.227346325
955	1.227223512
956	1.227104038
957	1.226965012
958	1.226688443
959	1.226584905
960	1.22652301
961	1.225924372
962	1.225798384
963	1.225705876
964	1.22558352
965	1.225481719
966	1.225388622
967	1.225281963
968	1.22517767
969	1.22502591
970	1.224911974
971	1.224798627
972	1.224698593
973	1.22458538
974	1.224410681
975	1.224337969
976	1.224279667
977	1.224153562
978	1.224045753
979	1.223932643
980	1.223768064
981	1.223661315
982	1.223559238
983	1.223354944
984	1.223241138
985	1.22304515
986	1.222977533
987	1.222853734
988	1.222756002
989	1.222415203
990	1.222343184
991	1.222214016
992	1.222163819
993	1.222051371
994	1.221909313
995	1.221812277
996	1.221779462
997	1.221681154
998	1.22153864
999	1.221408011
